id,stationname,lat,long,distance,freq
382,University Pl & E 14 St,40.73492695,-73.99200509,0.4048322882927008,21617
383,Greenwich Ave & Charles St,40.735238,-74.000271,0.2833469479173821,11683
384,Fulton St & Washington Ave,40.683048,-73.964915,2.12535505660442,2833
385,E 55 St & 2 Ave,40.75797322,-73.96603308,0.31647928296968847,4951
386,Centre St & Worth St,40.71494807,-74.00234482,0.2488554634656323,7566
387,Centre St & Chambers St,40.71273266,-74.0046073,0.08149899039765851,16497
388,W 26 St & 10 Ave,40.749717753,-74.002950346,0.2245274495284647,9532
389,Broadway & Berry St,40.71044554,-73.96525063,0.7544647748861286,2668
390,Duffield St & Willoughby St,40.69221589,-73.9842844,1.3640163882544507,2330
391,Clark St & Henry St,40.69760127,-73.99344559,0.8713707442005757,3325
392,Jay St & Tech Pl,40.695065,-73.987167,1.123395174074561,3729
393,E 5 St & Avenue C,40.72299208,-73.97995466,0.2559686466499119,4952
394,E 9 St & Avenue C,40.72521311,-73.97768752,0.22795353009510025,8798
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,1.6314456027554818,3646
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,2.501876166887826,1921
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,1.980854371551798,1535
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,1.1246582757969117,4443
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,1.7821551095917043,1598
400,Pitt St & Stanton St,40.71926081,-73.98178024,0.23302409224707848,2486
402,Broadway & E 22 St,40.7403432,-73.98955109,0.1529685203499218,22566
403,E 2 St & 2 Ave,40.72502876,-73.99069656,0.11810889127187635,9339
405,Washington St & Gansevoort St,40.739323,-74.008119,0.1753919255512913,12996
406,Hicks St & Montague St,40.69512845,-73.99595065,1.0380143591640205,4551
408,Market St & Cherry St,40.71076228,-73.99400398,0.07443597758822545,3753
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,1.8958621653524013,1308
410,Suffolk St & Stanton St,40.72066442,-73.98517977,0.3059095374641356,10704
411,E 6 St & Avenue D,40.72228087,-73.97668709,0.39045174428818624,4262
412,Forsyth St & Canal St,40.7158155,-73.99422366,0.27165682057789525,7395
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,0.6423973660452849,3435
415,Pearl St & Hanover Square,40.7047177,-74.00926027,0.3515577528812618,6865
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1.7110895018340564,2743
417,Barclay St & Church St,40.71291224,-74.01020234,0.2125521875275261,12056
418,Front St & Gold St,40.70224,-73.982578,0.6773836264103492,2074
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,1.145415919269033,940
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,1.743171344745627,2187
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,1.188025606574946,1394
422,W 59 St & 10 Ave,40.770513,-73.988038,0.23543740424162252,7391
423,W 54 St & 9 Ave,40.76584941,-73.98690506,0.3581595454036199,5020
426,West St & Chambers St,40.71754834,-74.01322069,0.0930603342458378,25976
427,Bus Slip & State St,40.701907,-74.013942,0.10590908828240908,6231
428,E 3 St & 1 Ave,40.72467721,-73.98783413,0.12402690003055195,11456
430,York St & Jay St,40.7014851,-73.98656928,0.7501911304651014,6091
432,E 7 St & Avenue A,40.72621788,-73.98379855,0.11066971438066221,11523
433,E 13 St & Avenue A,40.72955361,-73.98057249,0.10495737248268383,11147
434,9 Ave & W 18 St,40.74317449,-74.00366443,0.13621855622354032,10023
435,W 21 St & 6 Ave,40.74173969,-73.99415556,0.3262874040947599,24104
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,2.443589076731543,1677
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,2.628511454786066,656
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,0.22636457174768793,9741
439,E 4 St & 2 Ave,40.7262807,-73.98978041,0.19079083736353566,11551
440,E 45 St & 3 Ave,40.75255434,-73.97282625,0.4717461445163246,6904
441,E 52 St & 2 Ave,40.756014,-73.967416,0.26310556144609765,5394
442,W 27 St & 7 Ave,40.746647,-73.993915,0.25907741241730475,12492
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,0.8402171036597131,921
444,Broadway & W 24 St,40.7423543,-73.98915076,0.06289105715159153,21155
445,E 10 St & Avenue A,40.72740794,-73.98142006,0.06772613170870184,14018
446,W 24 St & 7 Ave,40.74487634,-73.99529885,0.25854578335815953,15924
447,8 Ave & W 52 St,40.76370739,-73.9851615,0.3927205103039746,9368
448,W 37 St & 10 Ave,40.75660359,-73.9979009,0.5203045599221865,10153
449,W 52 St & 9 Ave,40.76461837,-73.98789473,0.27106759731788,5929
450,W 49 St & 8 Ave,40.76227205,-73.98788205,0.25129455574825127,11464
453,W 22 St & 8 Ave,40.74475148,-73.99915362,0.1975110060876532,12956
454,E 51 St & 1 Ave,40.75455731,-73.96592976,0.13764480174198632,4752
456,E 53 St & Madison Ave,40.7597108,-73.97402311,0.6355632397201463,4665
457,Broadway & W 58 St,40.76695317,-73.98169333,0.5485728878291389,15894
458,11 Ave & W 27 St,40.751396,-74.005226,0.33235849363193853,11846
459,W 20 St & 11 Ave,40.746745,-74.007756,0.18137062885832747,16196
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,0.718495508834784,3216
461,E 20 St & 2 Ave,40.73587678,-73.98205027,0.18475856873717533,11324
462,W 22 St & 10 Ave,40.74691959,-74.00451887,0.022917387045431382,17132
463,9 Ave & W 16 St,40.74206539,-74.00443172,0.1303354873947482,11848
465,Broadway & W 41 St,40.75513557,-73.98658032,0.22091439473688493,14993
466,W 25 St & 6 Ave,40.74395411,-73.99144871,0.21892078615636182,13068
467,Dean St & 4 Ave,40.68312489,-73.97895137,1.9771846814033522,4270
468,Broadway & W 55 St,40.7652654,-73.98192338,0.5813075873763149,8428
469,Broadway & W 53 St,40.76344058,-73.98268129,0.5205426027731669,8149
470,W 20 St & 8 Ave,40.74345335,-74.00004031,0.1614366071281903,9865
471,Grand St & Havemeyer St,40.71286844,-73.95698119,1.1854416736892237,2790
472,E 32 St & Park Ave,40.7457121,-73.98194829,0.3979890140150259,14546
474,5 Ave & E 29 St,40.7451677,-73.98683077,0.2129867334550287,11065
475,E 16 St & Irving Pl,40.73524276,-73.98758561,0.21869436167314715,10190
476,E 31 St & 3 Ave,40.74394314,-73.97966069,0.2844668034299501,12179
